"watershed","site","date","rich","rich_gen","LCBD_rep","LCBD_rich","LCBD_D","LCBD_rep_gen","LCBD_rich_gen","LCBD_D_gen"
"GBJ","GPZ02",20230629,6,6,0.0430091201028869,0.0190606189930919,0.0373156464809688,0.0434883422512993,0.0300921091918216,0.0387826658925128
"GBJ","GPZ03",20230628,11,10,0.03539508818857,0.0142373161410667,0.0311646459935613,0.0402282166478016,0.0101366614193911,0.0318778816941751
"GBJ","GPZ05",20230629,2,2,0.000542630311886079,0.19576810994995,0.0474486562061887,0.00664086105796431,0.165349138273686,0.0468481846940679
"GBJ","GPZ06",20230630,13,13,0.0371826040678499,0.0392458069264198,0.0364128523706378,0.0341419304131569,0.044560855710491,0.0356038099846347
"GBJ","GPZ07",20230630,5,4,0.0220084333247098,0.0741319305081221,0.0378458592386625,0.0121748455249361,0.104342612026611,0.0397019808576073
"GBJ","GSS01",20230627,11,10,0.0298684435020379,0.0123805476725321,0.0293023041738006,0.0247276312585164,0.0168811631404869,0.0284625175690582
"GBJ","STIC01",20230626,10,9,0.0471931011286128,0.00482156058301291,0.0338625918836257,0.0445203833159865,0.00803612295865386,0.0331047318690031
"GBJ","STIC02",20230628,13,12,0.0366751333820196,0.0285555033304311,0.0348559137259443,0.0334921522063839,0.0344323147181632,0.0341135237196145
"GBJ","STIC03",20230628,12,10,0.0373453499542642,0.0108126615349192,0.031527717158105,0.0326009052591312,0.0156470886192513,0.0306937385899886
"GBJ","STIC05",20230629,4,4,0.0355405565752426,0.070373533180364,0.0418284475852649,0.0374317175650001,0.0555497124908327,0.0410511396638326
"GBJ","STIC06",20230629,5,5,0.0549370944331437,0.030331104985561,0.043777948173516,0.0559799516439753,0.0220359307975314,0.0430641950073091
"GBJ","STIC07",20230629,5,5,0.049348712884753,0.0312327741849796,0.0423108992926991,0.0471108411321635,0.0457418929921708,0.044366975290963
"GBJ","STIC09",20230628,9,9,0.0586474703915242,0.00712017474687481,0.0376868729709238,0.0630702944190185,0.00425944570656719,0.0388367859186376
